"This list is a compiled directory of organisations accepting donations for flood relief. It has not been independently vetted, and inclusion does not imply endorsement. Please double-check and verify organisations before making a donation. See links for details",,,,,,,,
Related Organization,Org Type,Donation Details,Monetary Donations,Dry Rations/Items,Volunteer,Overseas Donations,Item Drop Off,Org Link
Thirteen thirtyone,Independent,https://www.facebook.com/share/p/1BcYu48pfE/,,Yes,,,Colombo 5,
Team Aura,Independent,https://www.facebook.com/photo/?fbid=823817953737383&set=a.160338286752023,,Yes,,,Homagama,https://www.facebook.com/teamaura.lk
National Olympic Committee of Sri Lanka,Independent,https://www.facebook.com/OlympicLK/posts/stand-with-sri-lanka-in-this-moment-of-need-noc-sri-lanka-and-cga-sri-lanka-have/1289537089865711/,,Yes,,,Colombo 7,
St Thomas' College OBA,Independent,https://www.facebook.com/photo/?fbid=1415443137257809&set=pcb.1415443837257739,Yes,Yes,,,,
By Wired,Independent,https://www.instagram.com/p/DRrdYW8k7XK/?img_index=1,Yes,,,,,
The students visa,Independent,https://www.instagram.com/p/DRo8Y3MDBZc/,,Yes,,,Colombo 1,
Colombo City Center,Independent,https://www.instagram.com/p/DRrUpEykV8e/?img_index=2,,Yes,,,Colombo 2,
Musicmatters SL,Independent,https://www.instagram.com/p/DRpWAEngpjO/?img_index=1,Yes,Yes,,,Colombo 2,
Momager,Independent,https://www.instagram.com/p/DRrkXu2CBkB/?img_index=1,Yes,Yes,,,Colombo 3,
The sunflower circle,Independent,https://www.instagram.com/p/DRsKaUuja01/?img_index=1,,Yes,,,,
Cafe Kumbuk,Independent,https://www.facebook.com/photo/?fbid=1232176095626016&set=a.619345123575786,,Yes,,,Colombo 7,
